Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",142.100000,-85.200000,90.000000,top
"C2","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.512500,-83.050000,0.000000,top
"C3","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.550000,-85.000000,90.000000,top
"C4","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",154.750000,-85.650000,180.000000,top
"C5","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.100000,-90.800000,180.000000,top
"C6","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.200000,-70.937500,-90.000000,top
"C7","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.275000,-95.775000,180.000000,top
"C8","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.300000,-86.100000,90.000000,top
"C9","4.7uF 50V_US","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.400000,-71.000000,-90.000000,top
"C10","4.7uF 50V_US","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.700000,-88.500000,180.000000,top
"C11","4.7uF 50V_US","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.587500,-88.500000,0.000000,top
"C12","4.7uF 50V_US","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.500000,-97.900000,180.000000,top
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",115.163600,-101.854000,0.000000,top
"C14","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.020600,-113.893600,0.000000,top
"C15","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",122.250000,-107.000000,90.000000,top
"C16","C_Polarized 100uF","CP_EIA-3528-21_Kemet-B",159.462500,-122.400000,0.000000,top
"C18","220uF","CP_EIA-3528-21_Kemet-B",134.000000,-80.300000,0.000000,top
"C19","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.600000,-88.000000,180.000000,top
"C20","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",130.800000,-72.800000,90.000000,top
"D1","MBR0530","D_SOD-123",154.150000,-90.850000,180.000000,top
"D2","MBR0530","D_SOD-123",156.550000,-93.950000,180.000000,top
"D3","MBR0530","D_SOD-123",151.650000,-93.450000,0.000000,top
"D4","MBR0530","D_SOD-123",135.000000,-76.000000,90.000000,top
"D13","MBR0530","D_SOD-123",108.500000,-112.000000,0.000000,top
"H3","MountingSwitch","baerklein",129.200000,-100.500000,0.000000,top
"J1","AFC24-S24FIC-00","FPC-SMD_P0.50-24P_QCHF-SM-H2.0",146.350000,-78.200000,0.000000,top
"J2","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",125.425000,-117.725000,180.000000,top
"J3","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",157.700000,-102.350000,0.000000,top
"J4","TochConn","FFC-SMD_6P-P0.50_FH34SRJ-6S-0.5SH",119.400000,-89.000000,180.000000,top
"J5","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",144.748281,-93.531641,-35.000000,top
"J6","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",129.250000,-117.120000,180.000000,top
"J7","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",124.200000,-76.600000,90.000000,top
"J8","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",154.050000,-102.350000,0.000000,top
"J9","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",138.856884,-89.319354,-35.000000,top
"J10","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",119.350000,-106.300000,180.000000,top
"JP1","RESE","SW-SMD_G-SWITCH_MK-12C02-G015",130.270000,-93.740000,0.000000,top
"L1","10uH","IND-SMD_L4.0-W4.0",156.650000,-98.050000,-90.000000,top
"Q1","Si1308","SOT-323_SC-70",138.600000,-84.650000,0.000000,top
"Q2","Si2301","SOT-23",115.544600,-106.781600,0.000000,top
"R1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.600000,-85.200000,180.000000,top
"R2","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",113.825000,-115.925000,180.000000,top
"R3","3R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.600000,-88.100000,90.000000,top
"R4","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.700000,-118.800000,90.000000,top
"R5","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.600000,-72.200000,90.000000,top
"R6","220K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",114.600000,-111.531400,180.000000,top
"R7","5k11","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",121.470000,-116.560600,0.000000,top
"R8","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",125.000000,-91.200000,0.000000,top
"R9","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",129.500000,-81.750000,0.000000,top
"R10","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",115.500000,-92.750000,0.000000,top
"R11","0.47R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",128.870000,-89.500000,0.000000,top
"R12","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",124.250000,-84.000000,0.000000,top
"R13","5k11","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",117.750000,-116.325000,0.000000,top
"R14","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.700000,-118.800000,-90.000000,top
"R15","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",161.500000,-111.250000,0.000000,top
"R16","N.C.","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.100000,-96.600000,-90.000000,top
"R17","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",158.700000,-118.800000,-90.000000,top
"R18","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.328200,-104.851200,0.000000,top
"R19","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",115.087400,-103.809800,0.000000,top
"R20","N.C.","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",129.600000,-79.800000,0.000000,top
"R21","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",114.000000,-76.250000,-90.000000,top
"R22","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",116.200000,-76.250000,90.000000,top
"R24","N.C.","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.600000,-106.800000,90.000000,top
"R25","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",126.700000,-80.700000,90.000000,top
"U1","ESP32-S3-WROOM-1-N8","ESP32-S3-WROOM-1",142.476000,-112.950000,180.000000,top
